,id_student,LS20,LS40,LS60,LS80,LS100
0,6516,4,3,2,1,0
1,8462,1,0,0,0,0
2,11391,4,3,2,1,0
3,23629,3,1,0,0,0
4,23698,7,6,5,3,2
5,23798,10,8,6,3,1
6,24186,8,7,6,3,0
7,24213,6,4,3,2,0
8,24391,9,8,6,3,0
9,24734,4,3,2,2,0
10,25107,10,8,6,4,1
11,25150,4,3,2,1,0
12,25261,0,0,0,0,0
13,25572,1,0,0,0,0
14,25997,2,0,0,0,0
15,26023,9,8,5,3,0
16,26192,4,3,2,1,0
17,26211,9,6,4,2,0
18,26247,0,0,0,0,0
19,26315,3,3,2,1,0
20,26734,2,2,1,0,0
21,27116,7,6,5,3,2
22,27189,11,10,8,4,0
23,27417,5,2,0,0,0
24,27683,11,9,8,7,1
25,27759,10,8,6,3,1
26,27780,3,2,1,0,0
27,27891,5,3,1,0,0
28,27935,2,1,0,0,0
29,28046,6,4,3,1,0
30,28061,4,3,2,1,0
31,28400,4,3,2,1,0
32,28418,1,0,0,0,0
33,28787,4,3,3,2,2
34,28808,1,0,0,0,0
35,28897,11,9,8,7,0
36,28952,0,0,0,0,0
37,29144,8,6,4,2,0
38,29335,8,6,4,1,0
39,29411,7,4,3,1,0
40,29420,7,6,5,3,2
41,29639,10,9,7,4,2
42,29764,7,6,5,3,2
43,29769,5,2,0,0,0
44,29820,11,9,7,4,2
45,29985,8,8,5,3,0
46,30091,9,7,5,4,1
47,30096,7,6,5,3,2
48,30531,1,0,0,0,0
49,30549,0,0,0,0,0
50,30850,7,6,5,3,2
51,31014,4,2,0,0,0
52,31107,8,7,5,3,0
53,31161,7,6,5,3,2
54,31173,6,4,3,1,0
55,31205,4,3,0,0,0
56,31269,1,0,0,0,0
57,31296,11,10,8,8,7
58,31600,4,3,2,1,0
59,31604,4,3,2,1,0
60,31663,10,8,6,4,1
61,31849,10,8,6,4,2
62,32221,3,2,0,0,0
63,32239,8,6,4,2,0
64,32327,1,0,0,0,0
65,32885,4,3,2,2,1
66,32930,4,3,2,1,0
67,33387,2,0,0,0,0
68,33600,0,0,0,0,0
69,33666,3,1,1,0,0
70,33681,2,0,0,0,0
71,33796,6,4,3,2,2
72,33897,0,0,0,0,0
73,33915,10,7,5,3,0
74,33930,4,3,2,1,0
75,34068,1,0,0,0,0
76,34087,2,0,0,0,0
77,34229,8,6,4,4,2
78,34293,1,0,0,0,0
79,34353,9,7,6,4,1
80,34431,1,0,0,0,0
81,34653,2,1,0,0,0
82,34662,1,0,0,0,0
83,34731,0,0,0,0,0
84,34756,2,0,0,0,0
85,34863,10,8,6,4,2
86,35001,2,1,0,0,0
87,35340,4,3,2,1,0
88,35355,6,5,3,1,0
89,35502,0,0,0,0,0
90,35508,7,6,5,3,2
91,35544,11,9,5,4,0
92,35747,0,0,0,0,0
93,35796,0,0,0,0,0
94,35812,0,0,0,0,0
95,35860,7,6,4,4,1
96,36347,10,8,7,7,0
97,36385,2,0,0,0,0
98,37298,10,9,6,6,0
99,37622,9,8,6,3,1
100,37652,4,3,3,2,2
101,38053,4,3,2,1,0
102,38234,6,4,4,1,0
103,38711,3,2,1,1,0
104,38941,0,0,0,0,0
105,39208,4,3,2,1,0
106,39411,0,0,0,0,0
107,39427,0,0,0,0,0
108,39655,10,8,6,4,1
109,39660,2,1,0,0,0
110,39882,10,6,2,2,0
111,40184,5,3,2,1,0
112,40419,6,4,3,1,0
113,40563,5,4,3,1,0
114,40604,5,4,3,2,1
115,40857,0,0,0,0,0
116,40878,8,6,4,4,0
117,41060,9,5,3,0,0
118,41414,9,7,6,3,0
119,41547,4,3,2,1,0
120,42552,10,8,6,2,0
121,42616,11,10,8,7,0
122,42638,10,9,7,4,2
123,42668,10,9,7,5,2
124,42746,16,13,9,5,2
125,42818,0,0,0,0,0
126,43273,11,10,8,7,0
127,43284,7,3,1,0,0
128,43430,8,6,4,0,0
129,43564,4,3,2,1,0
130,43958,4,0,0,0,0
131,45423,10,8,7,3,0
132,45462,4,3,2,1,1
133,45642,4,3,2,1,1
134,45664,12,8,6,3,0
135,46016,2,0,0,0,0
136,46148,11,9,8,5,0
137,46605,7,6,5,3,2
138,46705,5,4,3,2,2
139,46753,5,3,2,2,0
140,46812,0,0,0,0,0
141,46844,4,3,2,1,0
142,47061,3,3,2,1,1
143,47063,3,1,0,0,0
144,47855,0,0,0,0,0
145,47861,11,9,7,3,0
146,47891,2,1,0,0,0
147,47924,0,0,0,0,0
148,48040,10,8,6,4,1
149,48152,5,3,3,1,0
150,48503,9,7,5,3,1
151,48635,9,6,4,2,0
152,49119,8,6,5,3,2
153,49123,9,7,5,3,0
154,50069,5,3,2,0,0
155,50263,9,6,4,0,0
156,50476,5,3,2,1,0
157,50487,9,6,4,2,0
158,50610,0,0,0,0,0
159,50993,8,6,4,3,1
160,51030,5,3,2,1,0
161,51033,5,4,3,2,1
162,51153,5,4,3,2,1
163,51163,6,4,3,1,0
164,51301,0,0,0,0,0
165,51485,10,10,8,6,5
166,51576,10,8,4,2,0
167,51955,6,4,3,2,1
168,52014,10,6,4,2,0
169,52130,4,3,2,2,0
170,52275,0,0,0,0,0
171,52426,4,2,0,0,0
172,52702,8,7,6,3,0
173,52765,4,3,2,1,0
174,52797,10,8,6,3,1
175,52899,8,5,3,1,0
176,53025,4,3,2,1,0
177,53136,10,6,5,1,0
178,53166,9,9,6,3,0
179,53197,1,1,0,0,0
180,53300,7,6,4,2,2
181,53488,12,8,6,3,0
182,53632,3,1,0,0,0
183,53709,9,8,4,4,1
184,54062,5,3,2,1,0
185,54391,1,0,0,0,0
186,54810,5,4,3,2,2
187,54867,0,0,0,0,0
188,54882,3,3,1,0,0
189,55013,2,2,0,0,0
190,55026,8,6,5,2,1
191,55104,4,3,2,1,0
192,55419,0,0,0,0,0
193,55450,3,1,1,0,0
194,55968,5,3,1,0,0
195,56637,10,7,6,3,0
196,56667,10,9,8,7,7
197,56789,10,8,6,3,1
198,57079,9,7,5,2,1
199,57227,5,3,2,1,0
200,57285,4,3,2,1,0
201,57340,4,3,3,2,2
202,57506,4,3,2,1,0
203,57818,5,4,3,1,0
204,57844,10,10,9,7,0
205,58071,4,3,2,1,1
206,58089,1,0,0,0,0
207,58316,4,3,2,1,0
208,58549,9,8,4,3,0
209,58617,5,3,2,1,0
210,58640,10,10,8,5,0
211,58653,4,3,3,1,0
212,58731,6,4,3,2,1
213,58873,4,3,2,1,0
214,58884,10,9,4,3,0
215,59185,4,3,2,1,0
216,59272,4,3,2,1,0
217,59275,3,1,0,0,0
218,59370,5,4,3,1,0
219,59541,0,0,0,0,0
220,59725,9,8,5,2,1
221,60135,10,6,5,2,0
222,60162,9,8,6,4,0
223,60405,9,8,6,3,1
224,60416,9,8,6,2,1
225,60519,1,0,0,0,0
226,60809,10,9,7,4,2
227,60830,8,6,4,1,1
228,61227,3,2,2,1,1
229,61236,0,0,0,0,0
230,61352,0,0,0,0,0
231,61911,2,2,0,0,0
232,62034,2,2,1,0,0
233,62155,4,3,2,1,0
234,62278,4,3,2,0,0
235,62487,4,3,2,2,0
236,62631,6,4,2,0,0
237,62975,5,4,2,0,0
238,63015,5,4,3,2,1
239,63044,4,2,0,0,0
240,63112,6,3,2,1,0
241,63165,4,3,3,1,1
242,63295,10,9,7,6,0
243,63371,7,6,5,3,2
244,63400,4,3,2,1,0
245,63467,4,3,2,1,0
246,63566,6,4,3,1,0
247,63721,8,7,4,1,1
248,63827,2,0,0,0,0
249,63856,6,4,3,1,0
250,63949,7,6,4,2,0
251,64275,9,7,5,3,1
252,64296,2,1,0,0,0
253,64388,7,6,4,2,0
254,64427,11,9,8,3,0
255,64450,6,4,3,2,0
256,64767,3,1,0,0,0
257,64901,9,8,7,3,0
258,65002,1,0,0,0,0
259,65656,11,10,9,6,0
260,66047,0,0,0,0,0
261,66254,4,3,2,0,0
262,66451,10,10,8,7,0
263,66577,0,0,0,0,0
264,66579,3,1,0,0,0
265,66713,4,3,2,1,0
266,66892,0,0,0,0,0
267,67182,9,8,6,5,0
268,67471,5,4,3,1,0
269,67505,3,1,0,0,0
270,67539,3,3,2,1,0
271,67602,12,8,6,3,0
272,67685,3,3,2,1,0
273,67781,6,4,3,2,0
274,67785,10,6,4,2,0
275,67986,0,0,0,0,0
276,68011,0,0,0,0,0
277,68107,11,10,5,3,0
278,68208,11,9,8,6,0
279,68376,4,3,2,1,0
280,68417,5,4,3,2,1
281,68556,3,2,0,0,0
282,69346,0,0,0,0,0
283,69439,1,0,0,0,0
284,69491,12,8,6,3,0
285,69494,3,1,1,0,0
286,69703,7,6,5,3,2
287,70011,4,3,2,1,0
288,70214,4,3,2,1,0
289,70381,7,6,5,3,2
290,70464,4,3,2,1,0
291,70495,16,12,9,5,2
292,70537,4,3,2,1,0
293,70569,4,3,2,1,0
294,70608,10,8,6,4,1
295,70771,0,0,0,0,0
296,70827,1,0,0,0,0
297,71159,11,10,8,8,7
298,71209,5,4,3,1,0
299,71252,10,10,8,7,0
300,71361,4,3,2,1,0
301,71504,4,3,2,1,0
302,71578,10,9,7,3,0
303,71676,5,4,3,2,1
304,71723,5,2,1,0,0
305,72114,11,7,4,3,0
306,72400,10,8,6,3,1
307,72609,7,6,5,3,2
308,72693,8,7,7,5,5
309,72864,7,7,4,0,0
310,73019,6,4,3,2,1
311,73489,10,8,6,3,1
312,73584,1,0,0,0,0
313,73664,1,1,0,0,0
314,73874,2,1,0,0,0
315,74113,5,1,0,0,0
316,74165,10,6,4,2,0
317,74290,0,0,0,0,0
318,74372,3,2,1,0,0
319,74502,4,3,1,1,0
